from,to,album title,primary genre,secondary genre,year of publishing,first grammy category,second grammy category,grammy year,number of grammys per album,number of grammy nominations per album
rr,ad,21,3,,2011,1,,2012,1,1
pe,ad,21,3,,2011,1,,2012,1,1
pe,ad,25,3,,2015,1,,2017,1,1
rt,ad,21,3,,2011,1,,2012,1,1
rt,ad,25,3,,2015,1,,2017,1,1
ja,ad,21,3,,2011,1,,2012,1,1
fts,ad,21,3,,2011,1,,2012,1,1
dw,ad,21,3,,2011,1,,2012,1,1
gk,ad,25,3,,2015,1,,2017,1,1
kjs,ad,25,3,,2015,1,,2017,1,1
mm,ad,25,3,,2015,1,,2017,1,1
ar,ad,25,3,,2015,1,,2017,1,1
bb,ad,25,3,,2015,1,,2017,1,1
sd,ad,25,3,,2015,1,,2017,1,1
bm,ad,25,3,,2015,1,,2017,1,1
pl,ad,25,3,,2015,1,,2017,1,1
pe,rr,21,3,,2011,1,,2012,1,1
pe,rt,25,3,,2015,1,,2017,1,1
pe,rt,21,3,,2011,1,,2012,1,1
pe,ja,21,3,,2011,1,,2012,1,1
pe,fts,21,3,,2011,1,,2012,1,1
pe,dw,21,3,,2011,1,,2012,1,1
pe,gk,21,3,,2011,1,,2012,1,1
pe,kjs,21,3,,2011,1,,2012,1,1
pe,mm,21,3,,2011,1,,2012,1,1
pe,ar,21,3,,2011,1,,2012,1,1
pe,bb,21,3,,2011,1,,2012,1,1
pe,sd,21,3,,2011,1,,2012,1,1
pe,bm,21,3,,2011,1,,2012,1,1
pe,pl,21,3,,2011,1,,2012,1,1
rt,rr,21,3,,2011,1,,2012,1,1
rt,ja,21,3,,2011,1,,2012,1,1
rt,fts,21,3,,2011,1,,2012,1,1
rt,dw,21,3,,2011,1,,2012,1,1
rt,gk,21,3,,2011,1,,2012,1,1
rt,kjs,21,3,,2011,1,,2012,1,1
rt,mm,21,3,,2011,1,,2012,1,1
rt,ar,21,3,,2011,1,,2012,1,1
rt,bb,21,3,,2011,1,,2012,1,1
rt,sd,21,3,,2011,1,,2012,1,1
rt,bm,21,3,,2011,1,,2012,1,1
rt,pl,21,3,,2011,1,,2012,1,1
ja,rr,21,3,,2011,1,,2012,1,1
ja,fts,21,3,,2011,1,,2012,1,1
ja,dw,21,3,,2011,1,,2012,1,1
fts,rr,21,3,,2011,1,,2012,1,1
fts,dw,21,3,,2011,1,,2012,1,1
gk,kjs,25,3,,2015,1,,2017,1,1
gk,mm,25,3,,2015,1,,2017,1,1
gk,ar,25,3,,2015,1,,2017,1,1
gk,bb,25,3,,2015,1,,2017,1,1
gk,sd,25,3,,2015,1,,2017,1,1
gk,bm,25,3,,2015,1,,2017,1,1
gk,pl,25,3,,2015,1,,2017,1,1
kjs,mm,25,3,,2015,1,,2017,1,1
kjs,ar,25,3,,2015,1,,2017,1,1
kjs,bb,25,3,,2015,1,,2017,1,1
kjs,sd,25,3,,2015,1,,2017,1,1
kjs,bm,25,3,,2015,1,,2017,1,1
kjs,pl,25,3,,2015,1,,2017,1,1
mm,ar,25,3,,2015,1,,2017,1,1
mm,bb,25,3,,2015,1,,2017,1,1
mm,sd,25,3,,2015,1,,2017,1,1
mm,bm,25,3,,2015,1,,2017,1,1
mm,pl,25,3,,2015,1,,2017,1,1
ar,bb,25,3,,2015,1,,2017,1,1
ar,sd,25,3,,2015,1,,2017,1,1
ar,bm,25,3,,2015,1,,2017,1,1
ar,pl,25,3,,2015,1,,2017,1,1
bb,sd,25,3,,2015,1,,2017,1,1
bb,bm,25,3,,2015,1,,2017,1,1
bb,pl,25,3,,2015,1,,2017,1,1
sd,bm,25,3,,2015,1,,2017,1,1
sd,pl,25,3,,2015,1,,2017,1,1
bm,pl,25,3,,2015,1,,2017,1,1
lg,ad,30,3,,2021,4,1,2023,0,1
gk,ad,30,3,,2021,4,1,2023,0,1
gk,lg,30,3,,2021,4,1,2023,0,1
sh,lg,30,3,,2021,4,1,2023,0,1
sh,ad,30,3,,2021,4,1,2023,0,1
sh,gk,30,3,,2021,4,1,2023,0,1
jp,lg,30,3,,2021,4,1,2023,0,1
jp,ad,30,3,,2021,4,1,2023,0,1
jp,gk,30,3,,2021,4,1,2023,0,1
