from,to,album title,primary genre,secondary genre,year of publishing,first grammy category,second_grammy_category,grammy year,number of grammys per album,number of grammy nominations per album
rr,ts,The New Abnormal,1,,2020,2,,2021,1,1
rr,ad,21,3,,2011,1,,2012,1,1
rr,tc,Taking the long way,2,,2006,1,3,2007,2,2
rr,rhcp,Stadium Arcadium,1,,2006,2,1,2007,1,1
rr,jc,Unchained,2,,1996,2,,1998,1,1
pe,ad,21,3,,2011,1,,2012,1,1
pe,ad,25,3,,2015,1,,2017,1,1
rt,ad,21,3,,2011,1,,2012,1,1
rt,ad,25,3,,2015,1,,2017,1,1
ja,ad,21,3,,2011,1,,2012,1,1
fts,ad,21,3,,2011,1,,2012,1,1
dw,ad,21,3,,2011,1,,2012,1,1
gk,ad,25,3,,2015,1,,2017,1,1
kjs,ad,25,3,,2015,1,,2017,1,1
mm,ad,25,3,,2015,1,,2017,1,1
ar,ad,25,3,,2015,1,,2017,1,1
bb,ad,25,3,,2015,1,,2017,1,1
sd,ad,25,3,,2015,1,,2017,1,1
bm,ad,25,3,,2015,1,,2017,1,1
pl,ad,25,3,,2015,1,,2017,1,1
pe,rr,21,3,,2011,1,,2012,1,1
pe,rt,25,3,,2015,1,,2017,1,1
pe,rt,21,3,,2011,1,,2012,1,1
pe,ja,21,3,,2011,1,,2012,1,1
pe,fts,21,3,,2011,1,,2012,1,1
pe,dw,21,3,,2011,1,,2012,1,1
pe,gk,21,3,,2011,1,,2012,1,1
pe,kjs,21,3,,2011,1,,2012,1,1
pe,mm,21,3,,2011,1,,2012,1,1
pe,ar,21,3,,2011,1,,2012,1,1
pe,bb,21,3,,2011,1,,2012,1,1
pe,sd,21,3,,2011,1,,2012,1,1
pe,bm,21,3,,2011,1,,2012,1,1
pe,pl,21,3,,2011,1,,2012,1,1
rt,rr,21,3,,2011,1,,2012,1,1
rt,ja,21,3,,2011,1,,2012,1,1
rt,fts,21,3,,2011,1,,2012,1,1
rt,dw,21,3,,2011,1,,2012,1,1
rt,gk,21,3,,2011,1,,2012,1,1
rt,kjs,21,3,,2011,1,,2012,1,1
rt,mm,21,3,,2011,1,,2012,1,1
