from,to,album title,primary genre,secondary genre,year of publishing,first grammy category,second grammy category,grammy year,number of grammys per album
rr,ts,The New Abnormal,1,,2020,2,,2021,1
rr,ad,21,3,,2011,1,,2012,1
rr,tc,Taking the long way,2,,2006,1,3,2007,2
rr,rhcp,Stadium Arcadium,1,,2006,2,,2007,1
rr,jc,Unchained,2,,1996,2,,1998,1
pe,ad,21,3,,2011,1,,2012,1
pe,ad,25,3,,2015,1,,2017,1
rt,ad,21,3,,2011,1,,2012,1
rt,ad,25,3,,2015,1,,2017,1
ja,ad,21,3,,2011,1,,2012,1
fts,ad,21,3,,2011,1,,2012,1
dw,ad,21,3,,2011,1,,2012,1
gk,ad,25,3,,2015,1,,2017,1
kjs,ad,25,3,,2015,1,,2017,1
mm,ad,25,3,,2015,1,,2017,1
ar,ad,25,3,,2015,,,2017,
bb,ad,25,3,,2015,,,2017,
sd,ad,25,3,,2015,,,2017,
bm,ad,25,3,,2015,,,2017,
pl,ad,25,3,,2015,,,2017,
pe,rr,21,3,,2011,1,,2012,
pe,rt,25,3,,2015,1,,2017,
pe,rt,21,3,,2011,1,,2012,
pe,ja,21,3,,2011,1,,2012,
pe,fts,21,3,,2011,1,,2012,
pe,dw,21,3,,2011,1,,2012,
pe,gk,21,3,,2011,1,,2012,
pe,kjs,21,3,,2011,1,,2012,
pe,mm,21,3,,2011,1,,2012,
pe,ar,21,3,,2011,1,,2012,
pe,bb,21,3,,2011,1,,2012,
pe,sd,21,3,,2011,1,,2012,
pe,bm,21,3,,2011,1,,2012,
pe,pl,21,3,,2011,1,,2012,
rt,rr,21,3,,2011,1,,2012,
rt,ja,21,3,,2011,1,,2012,
rt,fts,21,3,,2011,1,,2012,
rt,dw,21,3,,2011,1,,2012,
rt,gk,21,3,,2011,1,,2012,
rt,kjs,21,3,,2011,1,,2012,
rt,mm,21,3,,2011,1,,2012,
rt,ar,21,3,,2011,1,,2012,
rt,bb,21,3,,2011,1,,2012,
rt,sd,21,3,,2011,1,,2012,
rt,bm,21,3,,2011,1,,2012,
rt,pl,21,3,,2011,1,,2012,
ja,rr,21,3,,2011,1,,2012,
ja,fts,21,3,,2011,1,,2012,
ja,dw,21,3,,2011,1,,2012,
fts,rr,21,3,,2011,1,,2012,
fts,dw,21,3,,2011,1,,2012,
gk,kjs,25,3,,2015,1,,2017,
gk,mm,25,3,,2015,1,,2017,
gk,ar,25,3,,2015,1,,2017,
gk,bb,25,3,,2015,1,,2017,
gk,sd,25,3,,2015,1,,2017,
gk,bm,25,3,,2015,1,,2017,
gk,pl,25,3,,2015,1,,2017,
kjs,mm,25,3,,2015,1,,2017,
kjs,ar,25,3,,2015,1,,2017,
kjs,bb,25,3,,2015,1,,2017,
kjs,sd,25,3,,2015,1,,2017,
kjs,bm,25,3,,2015,1,,2017,
kjs,pl,25,3,,2015,1,,2017,
mm,ar,25,3,,2015,1,,2017,
mm,bb,25,3,,2015,1,,2017,
mm,sd,25,3,,2015,1,,2017,
mm,bm,25,3,,2015,1,,2017,
mm,pl,25,3,,2015,1,,2017,
ar,bb,25,3,,2015,1,,2017,
ar,sd,25,3,,2015,1,,2017,
ar,bm,25,3,,2015,1,,2017,
ar,pl,25,3,,2015,1,,2017,
bb,sd,25,3,,2015,1,,2017,
bb,bm,25,3,,2015,1,,2017,
bb,pl,25,3,,2015,1,,2017,
sd,bm,25,3,,2015,1,,2017,
sd,pl,25,3,,2015,1,,2017,
bm,pl,25,3,,2015,1,,2017,
