from,to,song title,album title,genre,year of publishing,featuring,grammy category,grammy year
rr,ts,The Adults Are Talking,The New Abnormal,1,2020,,2,2021
rr,ts,Selfless,The New Abnormal,1,2020,,2,2021
rr,ts,Brooklyn Bridge to Chorus,The New Abnormal,1,2020,,2,2021
rr,ts,Bad Decisions,The New Abnormal,1,2020,,2,2021
rr,ts,Eternal Summer,The New Abnormal,1,2020,,2,2021
rr,ts,At the door,The New Abnormal,1,2020,,2,2021
rr,ts,Why Are Sundays So Depressing,The New Abnormal,1,2020,,2,2021
rr,ts,Not The Same Anymore,The New Abnormal,1,2020,,2,2021
rr,ts,Ode To The Mets,The New Abnormal,1,2020,,2,2021
rr,es,Don't,X,3,2014,,1,2015
rr,es,Bloodstream,X,3,2014,,1,2015
rr,es,Tenerifa Sea,X,3,2014,,1,2015
rr,es,Take It Back,X,3,2014,,1,2015
rr,ad,Don't You Remember,21,3,2011,,1,2012
rr,ad,He Won't Go,21,"3,4",2011,,1,2012
rr,ad,One And Only,21,"3,4",2011,,1,2012
rr,ad,Lovesong,21,"3,4",2011,,1,2012
rr,tc,The Long Way Around,Taking the long way,2,2006,,1,2007
rr,tc,Easy Silence,Taking the long way,2,2006,,1,2007
rr,tc,Not Ready to Make Nice,Taking the long way,2,2006,,1,2007
rr,tc,Everybody Knows,Taking the long way,2,2006,,1,2007
rr,tc,Bitter End,Taking the long way,2,2006,,1,2007
rr,tc,Lullaby,Taking the long way,2,2006,,1,2007
rr,tc,Lubbock or Leave It,Taking the long way,2,2006,,1,2007
rr,tc,Silent House,Taking the long way,2,2006,,1,2007
rr,tc,Favorite Year,Taking the long way,2,2006,,1,2007
rr,tc,Voice Inside My Head,Taking the long way,2,2006,,1,2007
rr,tc,I Like It,Taking the long way,2,2006,,1,2007
rr,tc,So Hard,Taking the long way,2,2006,,1,2007
rr,tc,I Hope,Taking the long way,2,2006,,1,2007
rr,tc,Baby Hold On,Taking the long way,2,2006,,1,2007
rr,rhcp,Dani California,Stadium Arcadium,1,2006,,2,2007
rr,rhcp,Snow (Hey Oh),Stadium Arcadium,1,2006,,2,2007
