from,to,song title,album title,genre,year of publishing,featuring,grammy category,grammy year
Rick Rubin,The Strokes,The Adults Are Talking,The New Abnormal,1,2020,,Best Rock Album,2021
Rick Rubin,The Strokes,Selfless,The New Abnormal,1,2020,,Best Rock Album,2021
Rick Rubin,The Strokes,Brooklyn Bridge to Chorus,The New Abnormal,1,2020,,Best Rock Album,2021
Rick Rubin,The Strokes,Bad Decisions,The New Abnormal,1,2020,,Best Rock Album,2021
Rick Rubin,The Strokes,Eternal Summer,The New Abnormal,1,2020,,Best Rock Album,2021
Rick Rubin,The Strokes,At the door,The New Abnormal,1,2020,,Best Rock Album,2021
Rick Rubin,The Strokes,Why Are Sundays So Depressing,The New Abnormal,1,2020,,Best Rock Album,2021
Rick Rubin,The Strokes,Not The Same Anymore,The New Abnormal,1,2020,,Best Rock Album,2021
Rick Rubin,The Strokes,Ode To The Mets,The New Abnormal,1,2020,,Best Rock Album,2021
Rick Rubin,Ed Sheeran,Don't,X,3,2014,,Album Of The Year,2015
Rick Rubin,Ed Sheeran,Bloodstream,X,3,2014,,Album Of The Year,2015
Rick Rubin,Ed Sheeran,Tenerifa Sea,X,3,2014,,Album Of The Year,2015
Rick Rubin,Ed Sheeran,Take It Back,X,3,2014,,Album Of The Year,2015
Rick Rubin,Adele,Don't You Remember,21,3,2011,,Album Of The Year,2012
Rick Rubin,Adele,He Won't Go,21,"3,4",2011,,Album Of The Year,2012
Rick Rubin,Adele,One And Only,21,"3,4",2011,,Album Of The Year,2012
Rick Rubin,Adele,Lovesong,21,"3,4",2011,,Album Of The Year,2012
Rick Rubin,The Chicks,The Long Way Around,Taking the long way,2,2006,,Album Of The Year,2007
Rick Rubin,The Chicks,Easy Silence,Taking the long way,2,2006,,Album Of The Year,2007
Rick Rubin,The Chicks,Not Ready to Make Nice,Taking the long way,2,2006,,Album Of The Year,2007
Rick Rubin,The Chicks,Everybody Knows,Taking the long way,2,2006,,Album Of The Year,2007
Rick Rubin,The Chicks,Bitter End,Taking the long way,2,2006,,Album Of The Year,2007
Rick Rubin,The Chicks,Lullaby,Taking the long way,2,2006,,Album Of The Year,2007
Rick Rubin,The Chicks,Lubbock or Leave It,Taking the long way,2,2006,,Album Of The Year,2007
