from,to,album title,primary genre,secondary genre,year of publishing,first grammy category,second grammy category,grammy year,number of grammys per album,number of grammy nominations per album
bbo,drl,PRISM,3,,2013,4,,2015,0,1
bbo,kp,PRISM,3,,2013,4,,2015,0,1
bbo,c,PRISM,3,,2013,4,,2015,0,1
bbo,mm,PRISM,3,,2013,4,,2015,0,1
bbo,ka,PRISM,3,,2013,4,,2015,0,1
bbo,cbk,PRISM,3,,2013,4,,2015,0,1
bbo,s,PRISM,3,,2013,4,,2015,0,1
s,drl,PRISM,3,,2013,4,,2015,0,1
s,kp,PRISM,3,,2013,4,,2015,0,1
s,c,PRISM,3,,2013,4,,2015,0,1
s,mm,PRISM,3,,2013,4,,2015,0,1
s,ka,PRISM,3,,2013,4,,2015,0,1
s,cbk,PRISM,3,,2013,4,,2015,0,1
gk,drl,PRISM,3,,2013,4,,2015,0,1
gk,kp,PRISM,3,,2013,4,,2015,0,1
gk,c,PRISM,3,,2013,4,,2015,0,1
gk,mm,PRISM,3,,2013,4,,2015,0,1
gk,ka,PRISM,3,,2013,4,,2015,0,1
gk,cbk,PRISM,3,,2013,4,,2015,0,1
gw,drl,PRISM,3,,2013,4,,2015,0,1
gw,kp,PRISM,3,,2013,4,,2015,0,1
gw,c,PRISM,3,,2013,4,,2015,0,1
gw,mm,PRISM,3,,2013,4,,2015,0,1
gw,ka,PRISM,3,,2013,4,,2015,0,1
gw,cbk,PRISM,3,,2013,4,,2015,0,1
drl,kp,PRISM,3,,2013,4,,2015,0,1
drl,c,PRISM,3,,2013,4,,2015,0,1
drl,mm,PRISM,3,,2013,4,,2015,0,1
drl,ka,PRISM,3,,2013,4,,2015,0,1
drl,cbk,PRISM,3,,2013,4,,2015,0,1
c,kp,PRISM,3,,2013,4,,2015,0,1
c,mm,PRISM,3,,2013,4,,2015,0,1
c,ka,PRISM,3,,2013,4,,2015,0,1
c,cbk,PRISM,3,,2013,4,,2015,0,1
mm,kp,PRISM,3,,2013,4,,2015,0,1
mm,ka,PRISM,3,,2013,4,,2015,0,1
mm,cbk,PRISM,3,,2013,4,,2015,0,1
kp,ka,PRISM,3,,2013,4,,2015,0,1
kp,cbk,PRISM,3,,2013,4,,2015,0,1
ka,cbk,PRISM,3,,2013,4,,2015,0,1
s,gk,PRISM,3,,2013,4,,2015,0,1
s,gw,PRISM,3,,2013,4,,2015,0,1
bbo,gk,PRISM,3,,2013,4,,2015,0,1
bbo,gw,PRISM,3,,2013,4,,2015,0,1
gk,gw,PRISM,3,,2013,4,,2015,0,1
drl,bbo,Teenage Dream,3,,2010,4,1,2011,0,1
drl,mm,Teenage Dream,3,,2010,4,1,2011,0,1
bbo,mm,Teenage Dream,3,,2010,4,1,2011,0,1
sv,s,Teenage Dream,3,,2010,4,1,2011,0,1
sv,bbo,Teenage Dream,3,,2010,4,1,2011,0,1
sv,mm,Teenage Dream,3,,2010,4,1,2011,0,1
sv,drl,Teenage Dream,3,,2010,4,1,2011,0,1
s,bbo,Teenage Dream,3,,2010,4,1,2011,0,1
s,mm,Teenage Dream,3,,2010,4,1,2011,0,1
s,drl,Teenage Dream,3,,2010,4,1,2011,0,1
ctrs,sv,Teenage Dream,3,,2010,4,1,2011,0,1
ctrs,bbo,Teenage Dream,3,,2010,4,1,2011,0,1
ctrs,mm,Teenage Dream,3,,2010,4,1,2011,0,1
ctrs,drl,Teenage Dream,3,,2010,4,1,2011,0,1
ctrs,s,Teenage Dream,3,,2010,4,1,2011,0,1
gw,sv,Teenage Dream,3,,2010,4,1,2011,0,1
gw,bbo,Teenage Dream,3,,2010,4,1,2011,0,1
gw,mm,Teenage Dream,3,,2010,4,1,2011,0,1
gw,drl,Teenage Dream,3,,2010,4,1,2011,0,1
gw,s,Teenage Dream,3,,2010,4,1,2011,0,1
gw,ctrs,Teenage Dream,3,,2010,4,1,2011,0,1
kh,sv,Teenage Dream,3,,2010,4,1,2011,0,1
kh,bbo,Teenage Dream,3,,2010,4,1,2011,0,1
kh,mm,Teenage Dream,3,,2010,4,1,2011,0,1
kh,drl,Teenage Dream,3,,2010,4,1,2011,0,1
kh,s,Teenage Dream,3,,2010,4,1,2011,0,1
kh,ctrs,Teenage Dream,3,,2010,4,1,2011,0,1
kh,gw,Teenage Dream,3,,2010,4,1,2011,0,1
ms,sv,Teenage Dream,3,,2010,4,1,2011,0,1
ms,bbo,Teenage Dream,3,,2010,4,1,2011,0,1
ms,mm,Teenage Dream,3,,2010,4,1,2011,0,1
ms,drl,Teenage Dream,3,,2010,4,1,2011,0,1
ms,s,Teenage Dream,3,,2010,4,1,2011,0,1
ms,ctrs,Teenage Dream,3,,2010,4,1,2011,0,1
ms,gw,Teenage Dream,3,,2010,4,1,2011,0,1
ms,kh,Teenage Dream,3,,2010,4,1,2011,0,1
oh,sv,Teenage Dream,3,,2010,4,1,2011,0,1
oh,bbo,Teenage Dream,3,,2010,4,1,2011,0,1
oh,mm,Teenage Dream,3,,2010,4,1,2011,0,1
oh,drl,Teenage Dream,3,,2010,4,1,2011,0,1
oh,s,Teenage Dream,3,,2010,4,1,2011,0,1
oh,ctrs,Teenage Dream,3,,2010,4,1,2011,0,1
oh,gw,Teenage Dream,3,,2010,4,1,2011,0,1
oh,kh,Teenage Dream,3,,2010,4,1,2011,0,1
oh,ms,Teenage Dream,3,,2010,4,1,2011,0,1
kp,sv,Teenage Dream,3,,2010,4,1,2011,0,1
kp,bbo,Teenage Dream,3,,2010,4,1,2011,0,1
kp,mm,Teenage Dream,3,,2010,4,1,2011,0,1
kp,drl,Teenage Dream,3,,2010,4,1,2011,0,1
kp,s,Teenage Dream,3,,2010,4,1,2011,0,1
kp,ctrs,Teenage Dream,3,,2010,4,1,2011,0,1
kp,gw,Teenage Dream,3,,2010,4,1,2011,0,1
kp,kh,Teenage Dream,3,,2010,4,1,2011,0,1
kp,ms,Teenage Dream,3,,2010,4,1,2011,0,1
kp,oh,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,sv,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,bbo,Teenage Dream,3,,2010,,,,,1
sdg,mm,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,drl,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,s,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,ctrs,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,gw,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,kh,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,ms,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,oh,Teenage Dream,3,,2010,4,1,2011,0,1
sdg,kp,Teenage Dream,3,,2010,4,1,2011,0,1
arg,sy,eternal sunshine,3,,2024,4,,2025,0,1
arg,nl,eternal sunshine,3,,2024,4,,2025,0,1
arg,aps,eternal sunshine,3,,2024,4,,2025,0,1
sdg,sy,eternal sunshine,3,,2024,4,,2025,0,1
sy,nl,eternal sunshine,3,,2024,4,,2025,0,1
sy,aps,eternal sunshine,3,,2024,4,,2025,0,1
nl,aps,eternal sunshine,3,,2024,4,,2025,0,1
il,mm,eternal sunshine,3,,2024,4,,2025,0,1
il,sy,eternal sunshine,3,,2024,4,,2025,0,1
il,nl,eternal sunshine,3,,2024,4,,2025,0,1
il,aps,eternal sunshine,3,,2024,4,,2025,0,1
il,arg,eternal sunshine,3,,2024,4,,2025,0,1
mm,sy,eternal sunshine,3,,2024,4,,2025,0,1
mm,nl,eternal sunshine,3,,2024,4,,2025,0,1
mm,arg,eternal sunshine,3,,2024,4,,2025,0,1
mm,aps,eternal sunshine,3,,2024,4,,2025,0,1
wl,mm,eternal sunshine,3,,2024,4,,2025,0,1
wl,sy,eternal sunshine,3,,2024,4,,2025,0,1
wl,nl,eternal sunshine,3,,2024,4,,2025,0,1
wl,aps,eternal sunshine,3,,2024,4,,2025,0,1
wl,il,eternal sunshine,3,,2024,4,,2025,0,1
wl,arg,eternal sunshine,3,,2024,4,,2025,0,1
dd,mm,eternal sunshine,3,,2024,4,,2025,0,1
dd,sy,eternal sunshine,3,,2024,4,,2025,0,1
dd,nl,eternal sunshine,3,,2024,4,,2025,0,1
dd,aps,eternal sunshine,3,,2024,4,,2025,0,1
dd,il,eternal sunshine,3,,2024,4,,2025,0,1
dd,arg,eternal sunshine,3,,2024,4,,2025,0,1
dd,wl,eternal sunshine,3,,2024,4,,2025,0,1
og,mm,eternal sunshine,3,,2024,4,,2025,0,1
og,sy,eternal sunshine,3,,2024,4,,2025,0,1
og,nl,eternal sunshine,3,,2024,4,,2025,0,1
og,aps,eternal sunshine,3,,2024,4,,2025,0,1
og,il,eternal sunshine,3,,2024,4,,2025,0,1
og,arg,eternal sunshine,3,,2024,4,,2025,0,1
og,wl,eternal sunshine,3,,2024,4,,2025,0,1
og,dd,eternal sunshine,3,,2024,4,,2025,0,1
lk,mm,eternal sunshine,3,,2024,4,,2025,0,1
lk,sy,eternal sunshine,3,,2024,4,,2025,0,1
lk,nl,eternal sunshine,3,,2024,4,,2025,0,1
lk,aps,eternal sunshine,3,,2024,4,,2025,0,1
lk,il,eternal sunshine,3,,2024,4,,2025,0,1
lk,arg,eternal sunshine,3,,2024,4,,2025,0,1
lk,wl,eternal sunshine,3,,2024,4,,2025,0,1
lk,dd,eternal sunshine,3,,2024,4,,2025,0,1
lk,og,eternal sunshine,3,,2024,4,,2025,0,1
arg,tb,Positions,3,,2020,4,,2022,0,1
arg,plj,Positions,3,,2020,4,,2022,0,1
tb,plj,Positions,3,,2020,4,,2022,0,1
xv,tb,Positions,3,,2020,4,,2022,0,1
xv,plj,Positions,3,,2020,4,,2022,0,1
xv,arg,Positions,3,,2020,4,,2022,0,1
mrf,tb,Positions,3,,2020,4,,2022,0,1
mrf,plj,Positions,3,,2020,4,,2022,0,1
mrf,arg,Positions,3,,2020,4,,2022,0,1
mrf,xv,Positions,3,,2020,4,,2022,0,1
mb,tb,Positions,3,,2020,4,,2022,0,1
mb,plj,Positions,3,,2020,4,,2022,0,1
mb,arg,Positions,3,,2020,4,,2022,0,1
mb,xv,Positions,3,,2020,4,,2022,0,1
mb,mrf,Positions,3,,2020,4,,2022,0,1
jle,tb,Positions,3,,2020,4,,2022,0,1
jle,plj,Positions,3,,2020,4,,2022,0,1
jle,arg,Positions,3,,2020,4,,2022,0,1
jle,xv,Positions,3,,2020,4,,2022,0,1
jle,mrf,Positions,3,,2020,4,,2022,0,1
jle,mb,Positions,3,,2020,4,,2022,0,1
st,tb,Positions,3,,2020,4,,2022,0,1
st,plj,Positions,3,,2020,4,,2022,0,1
st,arg,Positions,3,,2020,4,,2022,0,1
st,xv,Positions,3,,2020,4,,2022,0,1
st,mrf,Positions,3,,2020,4,,2022,0,1
st,mb,Positions,3,,2020,,,2022,0,1
st,jle,Positions,3,,2020,4,,2022,0,1
sy,tb,Positions,3,,2020,4,,2022,0,1
sy,plj,Positions,3,,2020,4,,2022,0,1
sy,arg,Positions,3,,2020,4,,2022,0,1
sy,xv,Positions,3,,2020,4,,2022,0,1
sy,mrf,Positions,3,,2020,4,,2022,0,1
sy,mb,Positions,3,,2020,4,,2022,0,1
sy,jle,Positions,3,,2020,4,,2022,0,1
sy,st,Positions,3,,2020,4,,2022,0,1
trs,tb,Positions,3,,2020,4,,2022,0,1
trs,plj,Positions,3,,2020,4,,2022,0,1
trs,arg,Positions,3,,2020,4,,2022,0,1
trs,xv,Positions,3,,2020,4,,2022,0,1
trs,mrf,Positions,3,,2020,4,,2022,0,1
trs,mb,Positions,3,,2020,4,,2022,0,1
trs,jle,Positions,3,,2020,4,,2022,0,1
trs,st,Positions,3,,2020,4,,2022,0,1
trs,sy,Positions,3,,2020,4,,2022,0,1
nam,tb,Positions,3,,2020,4,,2022,0,1
nam,plj,Positions,3,,2020,4,,2022,0,1
nam,arg,Positions,3,,2020,4,,2022,0,1
nam,xv,Positions,3,,2020,4,,2022,0,1
nam,mrf,Positions,3,,2020,4,,2022,0,1
nam,mb,Positions,3,,2020,4,,2022,0,1
nam,jle,Positions,3,,2020,4,,2022,0,1
nam,st,Positions,3,,2020,4,,2022,0,1
nam,sy,Positions,3,,2020,4,,2022,0,1
nam,trs,Positions,3,,2020,4,,2022,0,1
tr,tb,Positions,3,,2020,4,,2022,0,1
tr,plj,Positions,3,,2020,4,,2022,0,1
tr,arg,Positions,3,,2020,4,,2022,0,1
tr,xv,Positions,3,,2020,4,,2022,0,1
tr,mrf,Positions,3,,2020,4,,2022,0,1
tr,mb,Positions,3,,2020,4,,2022,0,1
tr,jle,Positions,3,,2020,4,,2022,0,1
tr,st,Positions,3,,2020,4,,2022,0,1
tr,sy,Positions,3,,2020,4,,2022,0,1
tr,trs,Positions,3,,2020,4,,2022,0,1
tr,nam,Positions,3,,2020,4,,2022,0,1
kod,tb,Positions,3,,2020,4,,2022,0,1
kod,plj,Positions,3,,2020,4,,2022,0,1
kod,arg,Positions,3,,2020,4,,2022,0,1
kod,xv,Positions,3,,2020,4,,2022,0,1
kod,mrf,Positions,3,,2020,4,,2022,0,1
kod,mb,Positions,3,,2020,4,,2022,0,1
kod,jle,Positions,3,,2020,4,,2022,0,1
kod,st,Positions,3,,2020,4,,2022,0,1
kod,sy,Positions,3,,2020,4,,2022,0,1
kod,trs,Positions,3,,2020,4,,2022,0,1
kod,nam,Positions,3,,2020,4,,2022,0,1
kod,tr,Positions,3,,2020,4,,2022,0,1
ss,tb,Positions,3,,2020,4,,2022,0,1
ss,plj,Positions,3,,2020,4,,2022,0,1
ss,arg,Positions,3,,2020,4,,2022,0,1
ss,xv,Positions,3,,2020,4,,2022,0,1
ss,mrf,Positions,3,,2020,4,,2022,0,1
ss,mb,Positions,3,,2020,4,,2022,0,1
ss,jle,Positions,3,,2020,4,,2022,0,1
ss,st,Positions,3,,2020,4,,2022,0,1
ss,sy,Positions,3,,2020,4,,2022,0,1
ss,trs,Positions,3,,2020,4,,2022,0,1
ss,nam,Positions,3,,2020,4,,2022,0,1
ss,tr,Positions,3,,2020,4,,2022,0,1
ss,kod,Positions,3,,2020,4,,2022,0,1
amj,tb,Positions,3,,2020,4,,2022,0,1
amj,plj,Positions,3,,2020,4,,2022,0,1
amj,arg,Positions,3,,2020,4,,2022,0,1
amj,xv,Positions,3,,2020,4,,2022,0,1
amj,mrf,Positions,3,,2020,4,,2022,0,1
amj,mb,Positions,3,,2020,4,,2022,0,1
amj,jle,Positions,3,,2020,4,,2022,0,1
amj,st,Positions,3,,2020,4,,2022,0,1
amj,sy,Positions,3,,2020,4,,2022,0,1
amj,trs,Positions,3,,2020,4,,2022,0,1
amj,nam,Positions,3,,2020,4,,2022,0,1
amj,tr,Positions,3,,2020,4,,2022,0,1
amj,kod,Positions,3,,2020,4,,2022,0,1
amj,ss,Positions,3,,2020,4,,2022,0,1
ca,tb,Positions,3,,2020,4,,2022,0,1
ca,plj,Positions,3,,2020,4,,2022,0,1
ca,arg,Positions,3,,2020,4,,2022,0,1
ca,xv,Positions,3,,2020,4,,2022,0,1
ca,mrf,Positions,3,,2020,4,,2022,0,1
ca,mb,Positions,3,,2020,4,,2022,0,1
ca,jle,Positions,3,,2020,4,,2022,0,1
ca,st,Positions,3,,2020,4,,2022,0,1
ca,sy,Positions,3,,2020,4,,2022,0,1
ca,trs,Positions,3,,2020,4,,2022,0,1
ca,nam,Positions,3,,2020,4,,2022,0,1
ca,tr,Positions,3,,2020,4,,2022,0,1
