id,name,grammy number album,grammy nomination number album,role,sex,year of birth
rr,RickRubin,6,13,1,2,1963
es,EdSheeran,1,7,2,2,1991
ad,Adele,4,6,2,1,1988
pe,PaulEpworth,3,2,1,2,1971
rt,RyanTedder,3,7,1,2,1979
ja,JimAbbiss,1,1,1,2,1953
fts,FraserTSmith,1,2,1,2,1971
dw,DanWilson,1,2,1,2,1961
kjs,KarlJohanSchuster,3,5,1,2,1985
mm,MaxMartin,3,11,1,2,1971
ar,ArielRechtshaid,3,6,1,2,1979
bb,BrianBurton,3,7,1,2,1977
sd,SamuelDixon,1,1,1,2,1973
bm,BrunoMars,4,6,1,2,1985
pl,PhilipLawrence,3,4,1,2,1980
lg,LudwigGöransson,0,2,1,2,1984
sh,Shellback,3,5,1,2,1985
jp,JoeyPecoraro,0,1,1,2,1994
in,Inflo,0,1,1,2,1988
tjj,TobiasJessoJr,1,3,1,2,1985
se,ShawnEverett,6,12,1,2,1982
stm,StephanMoccio,0,1,1,2,1972
jq,JasonQuenneville,0,2,1,2,1982
la,Labrinth,0,1,1,2,1989
cim,CarloIllangeloMontagnes,1,2,1,2,1987
tp,ThePope,0,1,1,2,1970
kw,KanyeWest,5,18,1,2,1977
mk,MIKEDEAN,4,12,1,2,1965
tw,TheWeeknd(Abel Tesfaye),2,6,1,2,1990
bbd,BenBillionsDiehl,0,0,1,2,
ma,Mano,0,1,1,2,1984
dbs,DANNYBOYSTYLES,0,2,1,2,
ap,AliPayami,2,1,1,2,1983
jeb,JeffBhasker,0,4,1,2,1974
tas,TaylorSwift,7,16,2,1,1989
nc,NathanChapman,3,4,1,2,1974
dh,DannHuff,0,2,1,2,1960
jlee,JacknifeLee,1,2,1,2,1967
bw,ButchWalker,0,1,1,2,1969
drl,DrLuke,0,2,1,2,1973
c,Cirkut,1,3,1,2,1986
ka,KlasAhlund,0,0,1,2,1972
kp,KatyPerry,0,3,2,1,1984
cbk,ChristianBloodshyKarlsson,0,0,1,2,1975
bbo,BennyBlanco,0,5,1,2,1988
s,Stargate,0,3,1,2,1972
gk,GregKurstin,5,6,1,2,1969
gw,GregWells,1,3,1,2,1968
sv,SandyVee,0,2,1,2,1975
cts,ChrisTrickyStewart,0,4,1,2,1974
ms,MattSquire,0,0,1,2,1976
oh,3OH!3,0,0,1,2,2007
sdg,SnoopDogg,0,3,2,2,1971
agr,ArianaGrande,1,8,2,1,1993
sy,ShintaroYasuda,0,0,1,2,
nl,NickLee,0,1,1,2,
aps,AaronParis,0,0,1,2,1996
wl,WillLoftis,0,0,1,2,1990
